alpha1,alpha2,MAE,time_s
1.5,5.0,50.0,0.2706673750000163
1.5,5.0,10.0,0.3210539170000857
1.5,5.0,10.0,0.2633188749999817
1.5,5.0,10.0,0.3050142089999781
1.5,5.0,35.0,0.2645045829999617
1.5,5.0,80.0,0.2518855419999681
1.5,5.0,10.0,0.2507438330000013
1.5,5.0,10.0,0.2463396660000398
1.5,5.0,10.0,0.272125458000005
1.5,5.0,35.0,0.2433878750000531
1.5,5.0,10.0,0.2629660410000269
1.5,5.0,25.0,0.2371457500000815
1.5,5.0,50.0,0.2463794999999891
1.5,5.0,10.0,0.2612215420000439
1.5,5.0,55.0,0.2486520839999002
1.5,5.0,10.0,0.2595310420000487
1.5,5.0,30.0,0.2452241670000603
1.5,5.0,10.0,0.2595230420000689
1.5,5.0,30.0,0.2594981660000712
1.5,5.0,10.0,0.2695475420000548
1.5,5.0,95.0,0.2497689159999936
1.5,5.0,10.0,0.2936574579999842
1.5,5.0,45.0,0.2546107079999729
1.5,5.0,10.0,0.2707265000000234
1.5,5.0,75.0,0.3044814170000336
1.5,5.0,10.0,0.2924234999999271
1.5,5.0,10.0,0.2828513749999501
1.5,5.0,120.0,0.2637018340000168
1.5,5.0,10.0,0.2571057089999158
1.5,5.0,30.0,0.2598074590000578
1.5,5.0,20.0,0.2734767079999756
1.5,5.0,10.0,0.2671334170000818
1.5,5.0,40.0,0.2550910420000036
1.5,5.0,10.0,0.2518066659999931
1.5,5.0,35.0,0.2694517080000196
1.5,5.0,10.0,0.2535440420000441
1.5,5.0,10.0,0.2786118750000241
1.5,5.0,65.0,0.2579787500000066
1.5,5.0,10.0,0.2669842080000535
1.5,5.0,10.0,0.2847699170000624
1.5,5.0,10.0,0.3240110829999594
1.5,5.0,20.0,0.2695774170000504
1.5,5.0,10.0,0.287286917000074
1.5,5.0,30.0,0.4821154169999317
1.5,5.0,55.0,0.4224827500000856
1.5,5.0,25.0,0.3361338330000762
1.5,5.0,30.0,0.3457174999999779
1.5,5.0,50.0,0.305543666999938
1.5,5.0,10.0,0.3291868339999837
1.5,5.0,30.0,0.2700036249999584
1.5,5.0,20.0,0.2763791669999591
1.5,5.0,50.0,0.2918932079999194
1.5,5.0,10.0,0.3110141250000424
1.5,5.0,10.0,0.2591930830000137
1.5,5.0,35.0,0.3509762500000306
1.5,5.0,10.0,0.3018141249999644
1.5,5.0,10.0,0.2873466250000547
1.5,5.0,30.0,0.3143447920000426
1.5,5.0,50.0,0.2703079579999894
1.5,5.0,10.0,0.3001729159999513
1.5,5.0,25.0,0.2925548749999507
1.5,5.0,10.0,0.2795729999999139
1.5,5.0,10.0,0.2581962500000827
1.5,5.0,10.0,0.2904834160000291
1.5,5.0,10.0,0.3107815829999936
1.5,5.0,10.0,0.3353925830000435
1.5,5.0,10.0,0.3073148749999745
1.5,5.0,10.0,0.2746892080000407
1.5,5.0,10.0,0.2545726669999339
1.5,5.0,10.0,0.2739764579999928
1.5,5.0,10.0,0.3379186670000536
1.5,5.0,30.0,0.2820086670000137
1.5,5.0,30.0,0.2840610839999726
1.5,5.0,60.0,0.2923729579999872
1.5,5.0,20.0,0.3002562500000749
1.5,5.0,10.0,0.2829772500000445
1.5,5.0,15.0,0.2854816249999885
1.5,5.0,10.0,0.3288602080000373
1.5,5.0,15.0,0.323945207999941
1.5,5.0,10.0,0.3416161249999732
1.5,5.0,10.0,0.3105735000000322
1.5,5.0,40.0,0.2880759170000146
1.5,5.0,10.0,0.3053745830000025
1.5,5.0,20.0,0.2675890000000436
1.5,5.0,5.0,0.3283069579999846
1.5,5.0,15.0,0.3028634579999334
1.5,5.0,10.0,0.259128042000043
1.5,5.0,10.0,0.3104929999999513
1.5,5.0,10.0,0.3156794999999874
1.5,5.0,20.0,0.3136950829999705
1.5,5.0,10.0,0.2957031669999423
1.5,5.0,45.0,0.3095141670000885
1.5,5.0,10.0,0.3212160829999675
1.5,5.0,10.0,0.2719240840000338
1.5,5.0,25.0,0.3241344159999926
1.5,5.0,20.0,0.3264304159999938
1.5,5.0,20.0,0.2954982090000158
1.5,5.0,50.0,0.3141242499999634
1.5,5.0,10.0,0.222897458000034
1.5,5.0,10.0,0.3503720420000036
1.5,5.0,10.0,0.3269165829999565
