family,dim,k,method,trial,k_hat,f1
gaussian,2,0,ecf_cos,53,0,1.0
gaussian,2,0,midast_ks,53,2,0.0
gaussian,2,0,midast_cvm,53,2,0.0
gaussian,2,0,edivisive,53,0,1.0
gaussian,2,0,ecf_cos,54,0,1.0
gaussian,2,0,midast_ks,54,0,1.0
gaussian,2,0,midast_cvm,54,0,1.0
gaussian,2,0,edivisive,54,0,1.0
gaussian,2,0,ecf_cos,55,0,1.0
gaussian,2,0,midast_ks,55,1,0.0
gaussian,2,0,midast_cvm,55,1,0.0
gaussian,2,0,edivisive,55,0,1.0
gaussian,2,0,ecf_cos,56,0,1.0
gaussian,2,0,midast_ks,56,2,0.0
gaussian,2,0,midast_cvm,56,2,0.0
gaussian,2,0,edivisive,56,0,1.0
gaussian,2,0,ecf_cos,57,0,1.0
gaussian,2,0,midast_ks,57,1,0.0
gaussian,2,0,midast_cvm,57,0,1.0
gaussian,2,0,edivisive,57,0,1.0
gaussian,2,0,ecf_cos,58,0,1.0
gaussian,2,0,midast_ks,58,0,1.0
gaussian,2,0,midast_cvm,58,0,1.0
gaussian,2,0,edivisive,58,0,1.0
gaussian,2,0,ecf_cos,59,0,1.0
gaussian,2,0,midast_ks,59,1,0.0
gaussian,2,0,midast_cvm,59,0,1.0
gaussian,2,0,edivisive,59,0,1.0
gaussian,2,0,ecf_cos,60,0,1.0
gaussian,2,0,midast_ks,60,2,0.0
gaussian,2,0,midast_cvm,60,0,1.0
gaussian,2,0,edivisive,60,0,1.0
gaussian,2,0,ecf_cos,61,0,1.0
gaussian,2,0,midast_ks,61,0,1.0
gaussian,2,0,midast_cvm,61,1,0.0
gaussian,2,0,edivisive,61,0,1.0
gaussian,2,0,ecf_cos,62,0,1.0
gaussian,2,0,midast_ks,62,5,0.0
gaussian,2,0,midast_cvm,62,3,0.0
gaussian,2,0,edivisive,62,0,1.0
gaussian,2,0,ecf_cos,63,0,1.0
gaussian,2,0,midast_ks,63,2,0.0
gaussian,2,0,midast_cvm,63,1,0.0
gaussian,2,0,edivisive,63,0,1.0
gaussian,2,0,ecf_cos,64,0,1.0
gaussian,2,0,midast_ks,64,1,0.0
gaussian,2,0,midast_cvm,64,3,0.0
gaussian,2,0,edivisive,64,0,1.0
gaussian,2,0,ecf_cos,65,0,1.0
gaussian,2,0,midast_ks,65,0,1.0
gaussian,2,0,midast_cvm,65,0,1.0
gaussian,2,0,edivisive,65,0,1.0
gaussian,2,0,ecf_cos,66,0,1.0
gaussian,2,0,midast_ks,66,0,1.0
gaussian,2,0,midast_cvm,66,0,1.0
gaussian,2,0,edivisive,66,0,1.0
gaussian,2,0,ecf_cos,67,0,1.0
gaussian,2,0,midast_ks,67,2,0.0
gaussian,2,0,midast_cvm,67,2,0.0
gaussian,2,0,edivisive,67,0,1.0
gaussian,2,0,ecf_cos,68,0,1.0
gaussian,2,0,midast_ks,68,0,1.0
gaussian,2,0,midast_cvm,68,0,1.0
gaussian,2,0,edivisive,68,0,1.0
gaussian,2,0,ecf_cos,69,1,0.0
gaussian,2,0,midast_ks,69,3,0.0
